Time (s),Illuminance (lux),Timestamp,Condition
34.829,3.6,2026-01-12 02:02:26.129,Transition
34.931,3.53,2026-01-12 02:02:26.231,Transition
35.031,3.53,2026-01-12 02:02:26.331,Transition
35.131,3.53,2026-01-12 02:02:26.431,Transition
35.231,3.53,2026-01-12 02:02:26.531,Transition
35.329,3.71,2026-01-12 02:02:26.629,Transition
35.432,3.71,2026-01-12 02:02:26.732,Transition
35.531,3.71,2026-01-12 02:02:26.831,Transition
35.63,3.71,2026-01-12 02:02:26.930,Transition
35.734,3.14,2026-01-12 02:02:27.034,Transition
35.831,3.14,2026-01-12 02:02:27.131,Transition
35.931,3.14,2026-01-12 02:02:27.231,Transition
36.033,3.14,2026-01-12 02:02:27.333,Transition
36.133,3.14,2026-01-12 02:02:27.433,Transition
36.231,3.53,2026-01-12 02:02:27.531,Transition
36.332,9.45,2026-01-12 02:02:27.632,Transition
36.432,7.55,2026-01-12 02:02:27.732,Transition
36.532,5.36,2026-01-12 02:02:27.832,Transition
36.631,5.36,2026-01-12 02:02:27.931,Transition
36.73,5.13,2026-01-12 02:02:28.030,Transition
36.833,5.13,2026-01-12 02:02:28.133,Transition
36.931,5.13,2026-01-12 02:02:28.231,Transition
37.031,5.13,2026-01-12 02:02:28.331,Transition
37.131,5.13,2026-01-12 02:02:28.431,Transition
37.231,5.04,2026-01-12 02:02:28.531,Transition
37.333,5.04,2026-01-12 02:02:28.633,Transition
37.431,5.13,2026-01-12 02:02:28.731,Transition
37.531,5.13,2026-01-12 02:02:28.831,Transition
37.634,5.13,2026-01-12 02:02:28.934,Transition
37.732,5.13,2026-01-12 02:02:29.032,Transition
37.833,11.49,2026-01-12 02:02:29.133,Transition
37.933,9.1,2026-01-12 02:02:29.233,Transition
38.033,6.68,2026-01-12 02:02:29.333,Transition
38.131,8.04,2026-01-12 02:02:29.431,Transition
38.23,8.97,2026-01-12 02:02:29.530,Transition
38.33,7.92,2026-01-12 02:02:29.630,Transition
38.431,7.92,2026-01-12 02:02:29.731,Transition
38.532,6.07,2026-01-12 02:02:29.832,Transition
38.633,5.82,2026-01-12 02:02:29.933,Transition
38.732,6.96,2026-01-12 02:02:30.032,Transition
38.831,6.96,2026-01-12 02:02:30.131,Transition
38.932,6.96,2026-01-12 02:02:30.232,Transition
39.032,6.96,2026-01-12 02:02:30.332,Transition
39.132,6.96,2026-01-12 02:02:30.432,Transition
39.23,6.96,2026-01-12 02:02:30.530,Transition
39.331,6.96,2026-01-12 02:02:30.631,Transition
39.433,6.96,2026-01-12 02:02:30.733,Transition
39.533,6.96,2026-01-12 02:02:30.833,Transition
39.628,6.68,2026-01-12 02:02:30.928,Transition
39.731,6.96,2026-01-12 02:02:31.031,Transition
39.83,7.06,2026-01-12 02:02:31.130,Transition
39.929,6.96,2026-01-12 02:02:31.229,Transition
40.032,6.96,2026-01-12 02:02:31.332,Transition
40.131,6.96,2026-01-12 02:02:31.431,Transition
40.231,7.06,2026-01-12 02:02:31.531,Transition
40.332,7.06,2026-01-12 02:02:31.632,Transition
40.43,7.06,2026-01-12 02:02:31.730,Transition
40.53,7.06,2026-01-12 02:02:31.830,Transition
40.63,7.06,2026-01-12 02:02:31.930,Transition
40.73,6.96,2026-01-12 02:02:32.030,Transition
