Time (s),Illuminance (lux),Timestamp,Condition
18.985,2.98,2026-01-12 00:36:15.860,Transition
19.085,2.98,2026-01-12 00:36:15.960,Transition
19.183,2.98,2026-01-12 00:36:16.058,Transition
19.285,2.98,2026-01-12 00:36:16.160,Transition
19.385,7.19,2026-01-12 00:36:16.260,Transition
19.485,8.88,2026-01-12 00:36:16.360,Transition
19.585,12.4,2026-01-12 00:36:16.460,Transition
19.685,8.88,2026-01-12 00:36:16.560,Transition
19.784,27.6,2026-01-12 00:36:16.659,Transition
19.886,13.81,2026-01-12 00:36:16.761,Transition
19.985,4.09,2026-01-12 00:36:16.860,Transition
20.085,4.01,2026-01-12 00:36:16.960,Transition
20.186,5.58,2026-01-12 00:36:17.061,Transition
20.285,4.69,2026-01-12 00:36:17.160,Transition
20.384,3.3,2026-01-12 00:36:17.259,Transition
20.487,3.14,2026-01-12 00:36:17.362,Transition
20.586,3.14,2026-01-12 00:36:17.461,Transition
20.683,3.14,2026-01-12 00:36:17.558,Transition
20.787,3.14,2026-01-12 00:36:17.662,Transition
20.887,3.14,2026-01-12 00:36:17.762,Transition
20.986,3.14,2026-01-12 00:36:17.861,Transition
21.086,3.14,2026-01-12 00:36:17.961,Transition
21.186,3.14,2026-01-12 00:36:18.061,Transition
21.287,3.3,2026-01-12 00:36:18.162,Transition
21.384,3.64,2026-01-12 00:36:18.259,Transition
21.483,3.83,2026-01-12 00:36:18.358,Transition
21.586,3.9,2026-01-12 00:36:18.461,Transition
21.688,3.83,2026-01-12 00:36:18.563,Transition
21.785,4.09,2026-01-12 00:36:18.660,Transition
21.885,4.48,2026-01-12 00:36:18.760,Transition
21.983,4.69,2026-01-12 00:36:18.858,Transition
22.086,4.9,2026-01-12 00:36:18.961,Transition
22.186,4.9,2026-01-12 00:36:19.061,Transition
22.283,4.69,2026-01-12 00:36:19.158,Transition
22.385,5.67,2026-01-12 00:36:19.260,Transition
22.487,3.14,2026-01-12 00:36:19.362,Transition
22.585,3.14,2026-01-12 00:36:19.460,Transition
22.685,3.14,2026-01-12 00:36:19.560,Transition
22.786,3.14,2026-01-12 00:36:19.661,Transition
22.886,3.14,2026-01-12 00:36:19.761,Transition
22.985,2.98,2026-01-12 00:36:19.860,Transition
23.085,2.98,2026-01-12 00:36:19.960,Transition
23.184,2.98,2026-01-12 00:36:20.059,Transition
23.284,3.14,2026-01-12 00:36:20.159,Transition
23.386,3.14,2026-01-12 00:36:20.261,Transition
23.482,3.14,2026-01-12 00:36:20.357,Transition
