Time (s),Illuminance (lux),Timestamp,Condition
18.518,241.65,2026-01-12 00:36:27.684,Transition
18.618,264.41,2026-01-12 00:36:27.784,Transition
18.718,279.44,2026-01-12 00:36:27.884,Transition
18.82,285.84,2026-01-12 00:36:27.986,Transition
18.918,287.1,2026-01-12 00:36:28.084,Transition
19.017,285.84,2026-01-12 00:36:28.183,Transition
19.118,340.33,2026-01-12 00:36:28.284,Transition
19.218,274.34,2026-01-12 00:36:28.384,Transition
19.319,323.17,2026-01-12 00:36:28.485,Transition
19.418,347.64,2026-01-12 00:36:28.584,Transition
19.513,345.32,2026-01-12 00:36:28.679,Transition
19.622,276.33,2026-01-12 00:36:28.788,Transition
19.718,287.88,2026-01-12 00:36:28.884,Transition
19.818,274.99,2026-01-12 00:36:28.984,Transition
19.918,268.74,2026-01-12 00:36:29.084,Transition
20.018,302.48,2026-01-12 00:36:29.184,Transition
20.117,271.79,2026-01-12 00:36:29.283,Transition
20.218,221.75,2026-01-12 00:36:29.384,Transition
20.317,286.63,2026-01-12 00:36:29.483,Transition
20.417,295.7,2026-01-12 00:36:29.583,Transition
20.517,285.84,2026-01-12 00:36:29.683,Transition
20.616,312.71,2026-01-12 00:36:29.782,Transition
20.717,338.79,2026-01-12 00:36:29.883,Transition
20.816,324.4,2026-01-12 00:36:29.982,Transition
20.917,325.25,2026-01-12 00:36:30.083,Transition
21.022,238.62,2026-01-12 00:36:30.188,Transition
21.121,297.79,2026-01-12 00:36:30.287,Transition
21.221,252.22,2026-01-12 00:36:30.387,Transition
21.322,248.18,2026-01-12 00:36:30.488,Transition
21.42,248.18,2026-01-12 00:36:30.586,Transition
21.52,245.2,2026-01-12 00:36:30.686,Transition
21.62,239.31,2026-01-12 00:36:30.786,Transition
21.72,242.24,2026-01-12 00:36:30.886,Transition
21.82,246.33,2026-01-12 00:36:30.986,Transition
21.92,270.58,2026-01-12 00:36:31.086,Transition
22.019,211.66,2026-01-12 00:36:31.185,Transition
22.12,239.31,2026-01-12 00:36:31.286,Transition
22.22,254.1,2026-01-12 00:36:31.386,Transition
22.321,251.07,2026-01-12 00:36:31.487,Transition
22.414,267.99,2026-01-12 00:36:31.580,Transition
22.511,267.54,2026-01-12 00:36:31.677,Transition
22.617,242.24,2026-01-12 00:36:31.783,Transition
22.715,239.42,2026-01-12 00:36:31.881,Transition
22.816,228.02,2026-01-12 00:36:31.982,Transition
22.914,216.99,2026-01-12 00:36:32.080,Transition
23.016,192.6,2026-01-12 00:36:32.182,Transition
23.114,203.79,2026-01-12 00:36:32.280,Transition
23.214,219.74,2026-01-12 00:36:32.380,Transition
23.316,228.02,2026-01-12 00:36:32.482,Transition
23.415,214.27,2026-01-12 00:36:32.581,Transition
23.515,216.99,2026-01-12 00:36:32.681,Transition
23.615,237.61,2026-01-12 00:36:32.781,Transition
23.715,228.02,2026-01-12 00:36:32.881,Transition
23.814,218.04,2026-01-12 00:36:32.980,Transition
23.915,225.2,2026-01-12 00:36:33.081,Transition
24.014,204.69,2026-01-12 00:36:33.180,Transition
24.115,234.72,2026-01-12 00:36:33.281,Transition
24.214,243.37,2026-01-12 00:36:33.380,Transition
24.315,215.3,2026-01-12 00:36:33.481,Transition
24.414,252.22,2026-01-12 00:36:33.580,Transition
24.514,195.5,2026-01-12 00:36:33.680,Transition
24.615,222.41,2026-01-12 00:36:33.781,Transition
24.714,228.02,2026-01-12 00:36:33.880,Transition
24.814,233.62,2026-01-12 00:36:33.980,Transition
24.914,216.99,2026-01-12 00:36:34.080,Transition
25.014,211.66,2026-01-12 00:36:34.180,Transition
25.113,208.98,2026-01-12 00:36:34.279,Transition
25.214,222.41,2026-01-12 00:36:34.380,Transition
25.314,208.98,2026-01-12 00:36:34.480,Transition
